epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.296,0.8264,2.52306,0.9551,0.00572,0.96262,0.82285,0.68923,0.63744,2.71789,0.81039,0.00028,0.00028,0.00028
2,252.32,0.4358,1.27026,0.82212,1,0.07408,0.76718,0.68634,0.45442,2.78186,0.79246,0.00052258,0.00052258,0.00052258
3,383.128,0.40585,1.14599,0.82473,1,0.36303,0.8445,0.79006,0.42407,2.53015,0.80317,0.00070576,0.00070576,0.00070576
4,504.123,0.37832,1.03077,0.82741,0.97638,0.77259,0.9108,0.86026,0.40203,2.09876,0.80419,0.00082954,0.00082954,0.00082954
5,627.463,0.35012,0.94258,0.81779,0.95393,0.85047,0.90908,0.84443,0.38088,1.72752,0.80988,0.00089392,0.00089392,0.00089392
6,755.576,0.35286,0.88738,0.82426,0.98248,0.90654,0.94986,0.89211,0.37554,1.37476,0.80857,0.0008989,0.0008989,0.0008989
7,883.313,0.32552,0.80974,0.83098,0.99915,0.8972,0.96209,0.91935,0.3268,1.00592,0.79632,0.000812,0.000812,0.000812
8,998.62,0.29191,0.7405,0.79619,0.98626,0.92523,0.98229,0.93937,0.29652,0.69242,0.78348,0.000614,0.000614,0.000614
9,1115.08,0.27095,0.67623,0.79781,0.9971,0.93458,0.9867,0.94795,0.2676,0.66613,0.77965,0.000416,0.000416,0.000416
10,1230.12,0.23186,0.64366,0.7976,1,0.94384,0.99047,0.95949,0.23886,0.60933,0.77768,0.000218,0.000218,0.000218
